Player,Pos,Squad,90s,Assists,Expected Goals Assists,Expected Assists,Assists Overperformance,Key Passes,Passes into final third,Passes into penalty box,Crosses into penalty box,Progressive passes,Shot-created Actions,Goal-created Actions,Touches in Mid 3rd,Touches in Attacking 3rd,Touches in penalty box,Attempted Take-ons,Take-ons Success %,Carries,Progressive Distance,Progressive Carries,Progressive Passes Received
Ella Abdul Massih,"FW,MF",W Sydney,1.2,0,0.33,0.25,-0.33,2.5,6.67,0,0,3.33,2.5,0,40,28.3,5,1.67,0,32.5,51.7,0.83,2.5
Isabella Accardo,"DF,FW",Melb City,0.1,0,0,0,0,0,0,0,0,10,0,0,20,10,0,10,0,10,0,0,0
Josie Allan,"DF,FW",Newcastle,0.1,0,0,0,0,0,0,0,0,0,0,0,10,80,30,0,,60,160,10,30
Lauren Allan,"FW,DF",Newcastle,19.1,0.26,0.23,0.16,0.04,1.83,1.57,1.41,0.63,2.72,3.46,0.42,13.4,22.9,3.4,2.41,45.7,21.3,72,2.77,9.11
Liz Anton,DF,Perth,18.9,0.16,0.11,0.03,0.05,0.58,2.33,0.53,0.16,2.17,1.01,0.16,21.2,5.56,0.48,1.11,52.4,32.8,90.1,1.43,1.48
Alexia Apostolakis,"MF,DF",W Sydney,15.8,0.06,0.18,0.14,-0.11,2.15,3.42,0.44,0.13,3.61,3.48,0.13,24.1,17.7,0.63,2.15,41.2,22.8,52.6,1.08,2.66
Morgan Aquino,GK,Perth,21.2,0,0,0,0,0,0.19,0,0,0,0.05,0,0.19,0.05,0,0.05,100,22.2,73,0.05,0
Melina Ayres,"FW,MF",Newcastle,5.3,0,0.04,0.08,-0.04,1.13,1.51,0.75,0.19,1.7,3.4,0.57,15.1,17.7,5.66,0.94,20,14.7,19.8,0.75,5.47
Rola Badawiya,"FW,MF",Central Coast Mariners,18.1,0.11,0.09,0.12,0.02,1.05,1.05,0.39,0.11,2.15,2.93,0.28,17.1,22.8,5.25,3.59,43.1,27.3,65.5,2.76,8.51
Bárbara,GK,Melb City,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21.8,66.2,0,0
MelindaJ Barbieri,"FW,MF",Newcastle,15.5,0.06,0.2,0.22,-0.14,2.06,2.32,0.77,0.39,2.84,3.94,0.19,18.3,22.8,1.74,1.94,40,20.3,36,0.9,5.42
Melissa Barbieri,GK,Melb City,3,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,,20.3,58.3,0,0
Mackenzie Barry,DF,Wellington Phoenix FC,19.2,0,0,0.01,0,0.1,1.2,0,0,1.51,0.57,0,20.7,0.73,0.21,0.42,87.5,27.9,74.6,0.47,0.1
Lorena Baumann,DF,Newcastle,19.9,0.2,0.18,0.14,0.03,1.11,6.13,1.01,0.3,5.93,2.66,0.3,31.1,14.3,0.7,0.85,58.8,30,91.4,1.81,3.02
Hillary Beall,GK,Western United,13,0,0,0.03,0,0,0.31,0,0,0,0.15,0.08,0.08,0.08,0,0,,18.8,54.5,0,0
Tegan Bertolissio,DF,Canberra Utd,8.8,0.23,0.06,0.03,0.17,0.91,3.18,0.45,0.34,3.64,1.48,0.34,22.8,8.41,0.11,0.34,33.3,21.5,40.5,0.45,0.91
Hannah Blake,"MF,FW",Adelaide Utd,17.6,0.06,0.07,0.14,-0.02,1.14,2.05,0.91,0.23,3.69,3.35,0.28,21.6,17.7,1.93,2.39,50,28.3,70.1,2.33,5.97
Chelsea Blissett,"DF,MF",Brisbane,4.7,0,0.09,0.13,-0.09,0.85,1.7,1.06,0.43,2.34,1.7,0.21,19.8,17.7,3.19,1.7,50,21.1,62.6,2.55,5.32
Sarina Bolden,FW,Newcastle,16.2,0.56,0.22,0.13,0.34,2.1,1.6,0.56,0.19,2.84,3.58,0.74,14.2,22,6.05,0.99,37.5,21.6,43.6,1.6,6.54
Katie Bowler,"FW,DF",Adelaide Utd,2,0,0.05,0.05,-0.05,1,2,1,0,4.5,3.5,0.5,19.5,22.5,2.5,2,75,27.5,70,2,7.5
Daisy Brazendale,MF,Wellington Phoenix FC,3.2,0,0,0,0,0.31,1.88,0,0,2.5,0.63,0,28.4,6.25,0,0.63,50,18.1,25.6,0,0.94
India Breier,FW,W Sydney,1.2,0,,,,,,,,,,,,,,,,,,,
Hope Breslin,"FW,MF",Wellington Phoenix FC,16.5,0.18,0.12,0.08,0.07,1.33,2.91,0.48,0.18,3.88,2.42,0.3,28.6,11.6,1.52,2,33.3,24.2,47.3,0.97,4.12
Ava Briedis,"FW,MF",Melb Victory,1,0,0,0,0,0,2,0,0,6,1,1,22,19,3,6,33.3,41,98,3,9
Ashlee Brodigan,"FW,MF",Brisbane,4.8,0,0.13,0.06,-0.13,1.04,0.63,1.46,0.42,1.46,2.5,0,16.3,17.5,2.08,1.88,33.3,20.4,32.5,0.63,6.88
Ischia Brooking,MF,W Sydney,0.8,0,,,,,,,,,,,,,,,,,,,
Kelli Brown,"MF,FW",Wellington Phoenix FC,1.8,0,0.44,0.11,-0.44,1.67,0,1.67,1.11,0.56,3.89,0.56,17.8,16.1,2.78,3.89,28.6,18.9,53.9,0,5
Victoria Bruce,DF,W Sydney,21.8,0,0.03,0.02,-0.03,0.41,4.45,0.23,0.05,3.76,1.24,0.14,20.5,4.4,1.24,0.46,50,21.7,61.1,0.41,0.37
Faye Bryson,"DF,MF",Central Coast Mariners,16.6,0.12,0.16,0.14,-0.04,2.11,3.55,1.33,0.3,4.94,3.61,0.12,26.8,20.6,1.27,1.14,52.6,25.3,61.4,1.63,3.49
Ella Buchanan,MF,W Sydney,4.9,0,0.12,0.06,-0.12,0.82,1.84,0.41,0.2,1.84,1.63,0.2,21.4,17.3,2.45,0.41,50,23.7,53.3,1.63,4.49
Rebecca Burrows,MF,Newcastle,2.1,0,0,0,0,0,2.86,0.48,0,4.29,0.48,0,24.8,8.1,0,0.48,100,17.6,28.1,0,0
Melissa Caceres,"MF,FW",W Sydney,5.5,0,0.04,0.05,-0.04,1.09,2.55,1.09,0,3.82,3.27,0,22.9,24.2,3.64,3.27,50,26.9,59.5,2,3.09
Sarah Cain,"MF,DF",Perth,2.7,0.37,0.04,0.07,0.33,0.74,4.81,0,0,3.7,1.11,0.37,34.8,5.93,0,0.74,50,26.7,43,0.37,1.11
Maia Cameron,DF,Canberra Utd,0.1,0,,,,,,,,,,,,,,,,,,,
Holly Caspers,"FW,MF",W Sydney,13.5,0.52,0.43,0.25,0.09,1.93,1.26,1.11,0.37,2.59,2.81,0.59,15.4,20.6,5.93,2.07,39.3,22.7,59.6,2.59,6.52
Madeleine Caspers,"MF,FW",Sydney,7.2,0,0.11,0.07,-0.11,2.08,3.19,0.83,0.14,5,3.89,0,19.2,22.2,3.61,1.94,28.6,21.8,52.8,1.39,3.47
Georgia Cassidy,MF,Perth,12.8,0.08,0.04,0.03,0.04,0.55,2.89,0.31,0,2.81,1.17,0.08,28.4,5.39,0.23,1.17,40,25.7,37.7,0.39,0.63
Alana Cerne,DF,Western United,22,0,0.08,0.07,-0.08,0.5,2.5,0.41,0.23,2.91,1.36,0.09,20.7,2.5,0.5,0.95,47.6,28.2,76.1,0.73,0.27
Margaux Chauvet,"DF,MF",Sydney,9.6,0,0.03,0.03,-0.03,0.42,3.33,0.31,0.1,2.71,1.15,0.1,27.5,7.08,0.42,1.46,64.3,22.6,59.5,1.15,0.83
Emma Checker,DF,Melb Victory,14.3,0,0.05,0.03,-0.05,0.84,3.78,0.42,0.21,3.01,1.68,0,28.5,7.9,0.42,0.63,77.8,32,84.3,0.77,1.54
Amy Chessari,MF,W Sydney,10,0,0.05,0.09,-0.05,0.9,4.4,0.6,0,5.1,1.8,0,27.9,11.9,0.7,0.8,50,26.6,49.2,0.7,2.1
Alex Chidiac,MF,Melb Victory,12.1,0,0.1,0.07,-0.1,1.32,4.71,1.16,0,5.87,3.47,0.33,29.3,16.3,1.82,1.57,36.8,36.5,87.8,2.15,3.72
Sofia Christopherson,"DF,MF",Canberra Utd,16,0.13,0.06,0.11,0.06,0.56,1.19,0.69,0.13,2.44,1.56,0.19,19.3,13.4,1.5,2.38,57.9,20.6,50.1,1.5,4.69
Claudia Cicco,DF,Newcastle,16.9,0.06,0.01,0.02,0.05,0.41,3.43,0.47,0.36,3.85,1.18,0.18,26.1,8.99,0.12,0.24,25,20.6,45.1,0.83,1.12
Sarah Clark,"DF,MF",Canberra Utd,15.1,0,0.05,0.06,-0.05,0.53,2.72,0.53,0.2,2.58,0.73,0.07,19.9,3.51,0.33,0.93,71.4,30.3,130.8,0.93,0.66
Milly Clegg,FW,W Sydney,0.6,0,0,0,0,0,0,0,0,1.67,0,0,13.3,28.3,5,1.67,0,23.3,41.7,5,8.33
Cannon Clough,DF,Canberra Utd,18.4,0,0.02,0.05,-0.02,0.33,2.34,0.16,0,2.17,0.65,0,15.9,1.85,0.33,0.49,55.6,28.2,101.6,0.22,0.27
Kaylie Collins,GK,W Sydney,11,0,0,0,0,0,0.82,0,0,0,0.09,0,0.18,0.09,0,0,,17.5,61.5,0,0
Teigan Collister,FW,Sydney,1,0,0.1,0.1,-0.1,3,0,1,0,2,3,0,19,19,3,8,25,27,129,5,4
Emily Condon,"FW,MF",Adelaide Utd,3.9,0,0.18,0.13,-0.18,2.31,3.33,1.79,0,5.38,3.85,0.26,27.7,18.5,3.08,3.85,40,30.8,69,1.79,4.62
Shea Connors,FW,Sydney,5.6,0,0.05,0.14,-0.05,0.89,1.25,0.89,0.18,2.68,2.14,0.18,12,23,5.36,3.04,47.1,23.6,85.2,3.75,8.04
Libby Copus-Brown,"MF,FW",Newcastle,18.8,0.11,0.07,0.09,0.04,0.8,2.71,0.74,0.11,4.57,2.02,0.16,20.6,16,1.76,0.8,53.3,21.2,42.4,0.64,3.03
Mia Corbin,FW,Brisbane,21,0.19,0.19,0.1,0,1.19,1.57,0.76,0.05,2.62,2.52,0.38,18.3,17.5,5.29,1,47.6,20,35,1.14,5.52
Jessika Cowart,DF,Perth,21.8,0,0,0.03,0,0.14,2.11,0.14,0,1.61,0.37,0.05,16.8,0.87,0.32,0.41,77.8,37.1,91.6,0.05,0.14
Isabel Cox,FW,Wellington Phoenix FC,11.1,0.27,,,,,,,,,,,,,,,,,,,
Rosie Curtis,"MF,FW",Melb Victory,1.3,0,0,0,0,0,3.08,0,0,3.85,0,0,19.2,6.15,0.77,1.54,100,13.8,29.2,0,2.31
Ruby Cuthbert,DF,Brisbane,4,0,0,0,0,0,4.5,0,0,4.75,1.25,0,23.3,1.75,0.25,0.5,50,31.5,84.8,0,0
Sara D'Appolonia,"MF,FW",Melb Victory,13.6,0.07,0.17,0.12,-0.1,1.32,2.21,0.81,0.07,3.31,2.65,0.29,23.3,15,2.43,2.06,57.1,25.8,65.2,1.84,4.34
Natasha Dakic,DF,Western United,2,0,0,0,0,0,1.5,0,0,2,0,0,12.5,0,0,0,,10,25.5,0,0
Alyssa Dall'Oste,GK,Western United,7,0,0,0,0,0,0,0,0,0.14,0.14,0,0.14,0,0,0,,13.3,35.1,0,0
Isobel Dalton,MF,Perth,14.4,0,0.05,0.06,-0.05,0.56,3.75,0.49,0.07,3.26,1.18,0.07,29.9,7.71,0.63,0.97,28.6,28.5,54.3,0.76,1.11
Hailey Davidson,DF,Wellington Phoenix FC,17.7,0,0.01,0.03,-0.01,0.4,2.43,0.34,0.17,3.22,0.9,0.17,26.6,8.98,0.23,0.56,50,21.3,36,0.62,1.02
Leah Davidson,"MF,DF",Melb City,7,0,0.07,0.07,-0.07,1.14,4.71,0.86,0,5.14,2,0,26.9,16.3,1.43,2.43,52.9,33.7,84.4,1.71,2.71
Bonnie Davies,"FW,MF",Brisbane,1.6,0,0.13,0.13,-0.13,1.88,1.88,1.25,0.63,4.38,3.75,0,11.3,18.8,3.75,3.13,40,22.5,100,2.5,10
Cassidy Davis,MF,Newcastle,20.9,0.19,0.11,0.05,0.08,1,4.55,0.57,0.05,5.6,2.63,0.33,27.6,10.5,1.24,0.77,56.3,22.5,39,0.38,1.53
Chelsie Dawber,"FW,MF",Adelaide Utd,10.5,0.1,0.23,0.16,-0.13,1.71,2.19,1.43,0.67,3.71,2.86,0.38,24.2,20.8,4.1,1.71,33.3,29.9,71.8,2.86,9.14
Kiara De Domizio,"FW,MF",Western United,0.7,0,0,0,0,0,1.43,1.43,0,4.29,1.43,0,20,28.6,4.29,1.43,100,41.4,134.3,2.86,14.3
Deborah De La Harpe,"DF,MF",Brisbane,11.3,0.09,0.21,0.15,-0.12,1.24,2.12,1.42,0.62,3.19,3.01,0.27,22.4,22,1.86,1.42,12.5,29.6,72.7,2.3,6.55
Marisa van der Meer,DF,Wellington Phoenix FC,6,0,0,0.02,0,0.17,1.67,0,0,2.83,0.67,0,19.8,2.17,0.83,0.33,0,28.3,45.8,0.17,0.17
Sian Dewey,MF,Adelaide Utd,0.3,0,0,0,0,0,3.33,0,0,3.33,3.33,0,43.3,16.7,0,3.33,0,53.3,86.7,3.33,3.33
Indiana Dos Santos,"FW,MF",Sydney,5.4,0.19,0.17,0.19,0.02,2.04,3.7,1.85,0.19,4.63,4.81,0.37,20.4,23,1.67,2.59,42.9,26.7,42.8,1.48,5.19
Jynaya Dos Santos,FW,Sydney,1.7,0,0,0,0,0.59,0,0,0,1.18,0.59,0,15.9,11.8,1.76,3.53,33.3,19.4,28.8,0.59,2.94
Casey Dumont,GK,Central Coast Mariners,8.5,0,0,0,0,0,0.35,0,0,0,0,0,0.12,0,0,0,,22.4,70.6,0,0
Lily Dunbar,GK,Newcastle,0,0,,,,,,,,,,,,,,,,,,,
Emma Dundas,"MF,FW",Newcastle,14.6,0,0.07,0.08,-0.07,1.03,2.81,0.62,0.07,3.63,2.26,0.07,16.8,13.5,1.37,2.47,36.1,18.4,42.2,1.16,2.53
Brianna Edwards,GK,Wellington Phoenix FC,3.2,0,0,0,0,0,0.63,0,0,0,0.31,0,0.31,0,0,0,,18.1,85,0,0
Emily van Egmond,"MF,FW",Newcastle,3.5,0.86,0.46,0.37,0.4,3.43,6,0.86,0,5.43,5.43,1.71,26.6,23.7,3.71,0,,27.4,50.6,1.43,4.86
Emina Ekic,"FW,MF",Melb City,15.4,0.19,0.23,0.27,-0.04,1.1,1.49,1.62,0.13,3.51,3.44,0.45,16.2,30.8,6.04,5.32,51.2,31.7,105.5,3.96,11.8
Manaia Elliott,"FW,MF",Wellington Phoenix FC,7,0.29,0.17,0.07,0.11,1.71,1.57,1.29,0.57,2.14,2.71,0.57,18,17.3,2.86,3,23.8,22.4,50.4,1.57,8.14
Helena Errington,MF,Wellington Phoenix FC,1,0,0.6,0.3,-0.6,1,3,0,0,4,3,1,27,25,6,0,,21,56,0,4
Shadeene Evans,"FW,MF",Central Coast Mariners,3.1,0.32,0.1,0.1,0.23,1.29,0.65,1.29,0,2.58,3.23,0.32,24.2,16.8,2.58,0.97,33.3,31.6,97.4,3.55,7.1
Millie Farrow,FW,Perth,19.3,0.21,0.1,0.1,0.1,1.19,0.36,0.57,0.05,1.35,2.44,0.41,15.8,16.7,4.15,3.37,49.2,23.7,52.1,1.87,4.97
Aimee Feinberg-Danieli,GK,Wellington Phoenix FC,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,50,0,0
Kirsty Fenton,DF,Sydney,16.1,0.19,0.09,0.1,0.09,0.56,4.04,0.43,0.12,4.41,1.99,0.43,29.9,16.5,1.68,2.61,54.8,23.9,62.8,1.43,1.68
Gemma Ferris,"MF,DF",W Sydney,4.2,0,0.05,0,-0.05,0.24,3.1,0,0,3.33,0.24,0,22.4,4.29,0,0.24,0,23.8,45.5,0.95,0.24
Nickoletta Flannery,"FW,MF",Canberra Utd,17.8,0.39,0.25,0.16,0.14,1.46,0.96,1.12,0.56,2.3,2.36,0.67,13.2,13,2.25,0.9,18.8,15.6,40.3,1.52,5.84
Isabella Foletta,DF,Perth,5.2,0,0.04,0.1,-0.04,0.19,3.46,0.38,0.19,3.27,0.96,0,25,11,0.77,1.92,30,29.6,59.4,1.54,1.92
Michaela Foster,"DF,MF",Wellington Phoenix FC,17.6,0.17,0.24,0.13,-0.07,2.22,2.73,0.11,0.11,3.58,3.41,0.23,32.4,11.2,0.57,1.14,60,22.6,44.4,0.68,1.19
Rylee Foster,GK,Wellington Phoenix FC,18.6,0,0,0,0,0,0.32,0,0,0,0.27,0.11,0.16,0,0,0,,20.1,63.8,0,0
Macey Fraser,MF,Wellington Phoenix FC,17.6,0.28,0.22,0.14,0.07,1.7,5.97,1.25,0.17,7.39,3.98,0.34,35.6,18,1.08,2.27,55,29.7,71.7,1.59,3.69
Sharn Freier,"MF,DF",Brisbane,21.9,0.23,0.27,0.29,-0.05,1.87,0.91,0.87,0.46,2.47,3.56,0.37,19.9,22.2,5.62,4.16,57.1,27.4,135.3,5.34,8.86
Bianca Galic,"MF,FW",Central Coast Mariners,21.4,0.05,0.09,0.09,-0.04,0.93,3.18,0.98,0.05,4.44,2.38,0.28,24.5,12.8,2.66,1.82,48.7,25.6,56.3,1.54,3.08
Daniela Galic,"MF,FW",Melb City,15.1,0.33,0.3,0.3,0.03,1.79,3.38,1.79,0.26,5.83,3.77,0.53,18.8,28.4,4.5,3.44,48.1,35.4,85.6,2.78,8.94
Emily Gielnik,"FW,MF",Melb Victory,8.6,0.23,0.27,0.17,-0.03,1.28,1.51,1.28,0.58,2.33,3.6,0.81,14.9,22.3,8.49,2.56,54.5,25.5,77,3.72,9.88
Beattie Goad,FW,Melb Victory,11.8,0.17,0.14,0.19,0.03,1.95,1.86,1.61,0.68,3.81,3.22,0.42,20.4,24.6,3.39,2.12,68,29.3,92.8,3.22,7.37
Isabel Gomez,MF,Central Coast Mariners,20.5,0.15,0.1,0.1,0.04,1.02,4.39,0.83,0.1,5.12,2.54,0.34,33,9.56,1.07,3.07,61.9,24.7,56.6,1.22,1.27
Lara Gooch,"FW,MF",Newcastle,9.2,0.33,0.21,0.18,0.12,1.52,1.41,0.98,0.54,2.07,2.72,0.54,11.1,21.5,3.37,3.26,50,22.1,92.8,3.8,8.59
Bethany Gordon,"MF,FW",W Sydney,7,0,0.06,0.09,-0.06,1,2.71,0.43,0,2.57,2,0,26,9.29,0.57,1.43,40,21.4,43,0.86,1.43
Abbey Green,"FW,MF",Perth,0.7,0,0.14,0,-0.14,1.43,2.86,0,0,2.86,2.86,1.43,31.4,15.7,1.43,1.43,0,28.6,31.4,1.43,4.29
Miley Grigg,MF,Adelaide Utd,1.3,0,,,,,,,,,,,,,,,,,,,
Julia Grosso,DF,Melb City,11.9,0.17,0.13,0.14,0.04,0.76,5.8,1.18,0.25,7.56,2.77,0.5,31.8,24.4,2.52,4.96,57.6,42.4,177.7,5.46,5.46
Annalee Grove,GK,Adelaide Utd,17.7,0,0,0,0,0.06,0.06,0,0,0,0.11,0,0.17,0,0,0,,23.7,60.9,0,0
Sasha Grove,"DF,FW",Canberra Utd,18,0,0.06,0.04,-0.06,0.44,2.56,0.56,0.17,3.61,1.11,0.11,24.3,11.4,0.56,1.11,80,24.3,102.1,2.33,2.5
Wuri Gumula,FW,Central Coast Mariners,18.7,0.11,,,,,,,,,,,,,,,,,,,
Annabel Haffenden,"DF,FW",Adelaide Utd,1.2,0,0.17,0.25,-0.17,0.83,1.67,0.83,0,5,4.17,0,25.8,14.2,0.83,0.83,0,24.2,78.3,0.83,0.83
Milan Hammond,"FW,MF",Newcastle,1.9,0,0.16,0.11,-0.16,2.63,2.11,1.58,1.58,2.11,3.68,0,16.8,27.4,4.21,4.74,55.6,31.1,74.7,4.21,8.42
Tori Hansen,DF,Melb Victory,17.7,0.06,0.02,0.02,0.04,0.06,2.49,0.06,0,1.86,1.07,0.23,16.8,1.24,0.9,0,,31.5,70,0.17,0.17
Sophie Harding,FW,W Sydney,20,0.2,0.3,0.13,-0.1,1.35,1.3,1.1,0.25,2.6,3.05,0.3,13.6,23.8,6.05,2.85,36.8,22.4,85.8,3.9,6.75
Amy Harrison,"DF,MF",W Sydney,21.7,0.05,0.06,0.06,-0.01,0.97,4.42,0.28,0.05,3.23,2.07,0.09,18.5,4.88,0.46,1.01,50,24.4,65.9,0.51,0.32
Mackenzie Hawkesby,MF,Sydney,14.9,0.2,0.34,0.25,-0.14,4.43,4.03,2.35,0.13,6.31,6.78,0.34,27.7,25.6,2.28,1.88,39.3,26.6,44.8,1.14,6.11
Paige Hayward,"MF,FW",Central Coast Mariners,17.2,0.06,0.06,0.05,0,0.93,2.38,0.7,0.17,3.49,2.56,0.12,24,12.4,1.74,1.51,50,21.1,42,1.4,3.55
Mariel Hecher,"FW,MF",Brisbane,2.5,0,0.08,0.04,-0.08,2,3.6,0.8,0.4,4.8,3.6,0,27.6,24,2.8,2,0,34.4,36,0.8,6.4
Bryleeh Henry,"DF,MF",Melb City,9.6,0.21,0.2,0.15,0.01,1.15,3.23,1.25,0.1,4.58,2.29,0.31,23.8,27.3,5.52,3.65,40,36.4,114.2,3.44,10.6
Michelle Heyman,FW,Canberra Utd,19.9,0.35,0.27,0.21,0.09,1.51,1.46,1.01,0.1,3.02,2.86,0.55,18.6,15.7,5.73,1.96,48.7,19,53.4,1.46,4.97
Keiwa Hieda,"FW,MF",Western United,12.7,0.16,0.15,0.2,0.01,1.02,2.2,1.5,0.55,3.31,2.44,0.31,16.9,20.7,4.96,3.54,35.6,24.5,58.1,2.36,7.8
Clara Hoarau,DF,Perth,0.9,0,0,0,0,0,3.33,0,0,2.22,0,0,30,15.6,0,2.22,0,30,190,3.33,3.33
Sophie Hoban,FW,Newcastle,14.4,0.14,,,,,,,,,,,,,,,,,,,
Emily Hodgson,DF,Adelaide Utd,21.9,0.14,0.13,0.06,0.01,0.87,2.83,0.82,0.37,4.2,1.83,0.23,26,14.7,0.68,1.28,32.1,29.6,80,1.78,3.06
Isabel Hodgson,"FW,DF",Adelaide Utd,17.6,0,0.06,0.11,-0.06,0.85,2.22,0.63,0.23,2.44,2.27,0.06,19.3,12.8,2.56,1.02,44.4,19.8,44.4,1.31,5.34
Hannah Holgersen,"FW,MF",Brisbane,2.2,0.45,0.05,0.05,0.41,0.91,0.91,0.91,0,1.36,2.27,0.45,15.5,20.5,4.55,1.36,33.3,21.4,56.4,3.18,9.55
Shay Hollman,MF,Sydney,15.8,0,0.05,0.05,-0.05,0.57,4.3,0.32,0.06,4.62,1.27,0.06,28.8,8.48,0.44,0.51,12.5,19.3,30.4,0.25,1.08
Dylan Holmes,MF,Adelaide Utd,18.4,0.05,0.13,0.09,-0.07,1.25,3.37,0.82,0.05,4.51,2.83,0.16,25.7,13.9,2.12,1.52,60.7,23.6,60.5,1.68,4.29
Jenna Holtz,"DF,MF",Adelaide Utd,8.7,0,0.02,0.03,-0.02,0.46,3.68,0.23,0.11,4.25,1.61,0.11,33.7,12.2,0.46,1.26,90.9,28.4,50.3,0.8,0.69
Laura Hughes,MF,Melb City,20.3,0.05,0.05,0.08,0,0.69,6.31,0.69,0.05,7.04,2.36,0.2,35.7,14.8,0.79,1.33,40.7,39.9,69.3,0.94,2.36
Alexandra Huynh,"DF,FW",Newcastle,3.5,0,0.03,0,-0.03,0.29,1.71,0.29,0,1.43,0.86,0,17.1,3.43,1.14,0.86,66.7,21.1,50.6,0,0.86
Princess Ibini-Isei,"FW,MF",Sydney,19.6,0.2,0.14,0.11,0.06,1.58,1.79,1.48,0.15,3.78,4.39,0.36,17.9,23.2,4.49,2.86,46.4,27.7,73.9,2.65,7.09
Emma Ilijoski,"DF,MF",Canberra Utd,12.9,0.16,0.09,0.02,0.06,0.39,2.02,0.23,0.08,2.4,0.93,0.31,19.1,4.26,0.23,1.01,53.8,20.6,58.3,0.85,0.78
Olivia Ingham,MF,Wellington Phoenix FC,0.2,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,,10,0,0,0
Ashley Irwin,DF,Central Coast Mariners,20.5,0,0.01,0.01,-0.01,0.24,2.54,0.1,0,2.78,0.73,0.1,19.9,1.9,0.1,0.29,83.3,25.2,64.9,0.49,0.05
Tiana Jaber,"DF,MF",Wellington Phoenix FC,8.3,0,0,0.02,0,0.12,2.05,0.36,0.12,2.65,0.72,0.12,21.4,1.93,0.12,0.84,57.1,24.2,80.2,0.6,0.96
Deven Jackson,"MF,FW",Canberra Utd,13.5,0,0.07,0.05,-0.07,0.89,2.81,0.74,0.15,4.22,3.19,0.15,19.8,14.3,3.56,2.59,48.6,21.9,72.7,2.44,4.89
Grace Jale,"FW,MF",Perth,16.4,0,0.11,0.06,-0.11,0.98,1.46,0.55,0.06,2.44,2.01,0.18,17.1,17.1,2.68,1.89,38.7,19.7,44.5,1.83,4.63
Sally James,GK,Perth,0.8,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,,11.3,13.8,0,0
Alana Jancevski,"FW,MF",Adelaide Utd,13.3,0.15,0.14,0.12,0.01,2.11,2.56,1.2,0.3,4.14,3.68,0.53,24.4,19.9,1.73,1.65,45.5,24.5,42,1.2,4.81
Claudia Jenkins,GK,Adelaide Utd,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25.8,69.3,0,0
Kahli Johnson,"FW,MF",Western United,6.2,0,0.11,0.11,-0.11,1.13,0.65,0.81,0.32,1.61,2.1,0.16,16,25.5,7.9,3.06,21.1,30.6,115.3,4.84,9.68
Lucy Johnson,MF,Sydney,1.5,0,0,0,0,0,2,0.67,0.67,2.67,1.33,0.67,22.7,14,2,4,0,14,20,0,3.33
Grace Johnston,MF,Perth,5.2,0.19,,,,,,,,,,,,,,,,,,,
María José Rojas,"MF,FW",Canberra Utd,5.2,0,0.06,0.13,-0.06,0.58,1.35,0.96,0.19,2.69,2.31,0.38,18.7,16,4.04,4.23,50,23.7,44,1.35,4.62
Tiarna Karambasis,"DF,MF",Central Coast Mariners,10.1,0.1,0.07,0.04,0.03,0.1,3.17,0.4,0.1,3.56,1.09,0.1,23.7,3.86,0.4,1.19,58.3,31.8,95.8,0.2,0.4
