Rk,Player,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ArlWon,ArlLost,ArlWon%
7,Davide Adorni,CB,Brescia,21.5,0.19,0,0,1.35,0.42,0,0.14,1.12,0.98,0,0,0,3.21,2.47,1.63,60.2
11,Giorgio Altare,CB,Venezia,25.1,0.28,0.04,0,1.67,0.56,0.04,0.96,2.07,1.43,0,0.04,0.04,5.42,3.07,1.43,68.1
25,Valentin Antov,CB,Cremonese,29.3,0.24,0.03,0,1.23,0.61,0,0.51,1.19,1.06,0,0,0,5.02,2.46,1.64,60
39,Botond Balogh,CB,Parma,15,0.27,0.13,0.07,1.6,1,0,0,1.87,0.87,0,0,0,5.4,2.6,1.47,63.9
41,Federico Barba,CB,Como,29,0.07,0.03,0,1.34,0.86,0,0.07,1.1,0.66,0,0,0,5.17,1.69,1.28,57
55,Giuseppe Bellusci,CB,Ascoli,28.8,0.49,0.1,0.07,1.42,0.76,0,0.83,1.25,0.97,0,0,0.03,4.72,2.12,1.08,66.3
68,Matteo Bianchetti,CB,Cremonese,30.5,0.3,0,0,1.44,0.95,0,0.43,1.05,0.66,0.03,0,0,3.87,2.98,1.84,61.9
70,Alessandro Bianconi,CB,Calcio Lecco 1912,21.3,0.19,0,0,0.89,0.66,0.09,0.05,0.7,0.66,0,0,0,4.23,1.46,1.08,57.4
84,Eric Botteghin,CB,Ascoli,23.2,0.17,0,0,0.95,0.3,0.09,0.09,1.42,1.03,0,0.04,0,5.22,4.31,2.07,67.6
89,Nicolò Brighenti,CB,Catanzaro,28.5,0.35,0.04,0.04,1.19,1.16,0,0.07,1.3,1.09,0,0.07,0,3.75,2.35,1.61,59.3
106,Michele Camporese,CB,Cosenza,19,0.26,0,0,0.42,0.32,0,0.05,1.11,0.37,0,0.05,0,3.21,2.37,1.74,57.7
110,Simone Canestrelli,CB,Pisa,34.9,0.34,0,0,1.35,0.63,0.06,0.17,1.69,0.83,0,0,0,4.5,2.95,1.46,66.9
112,Alessandro Caporale,CB,Calcio Lecco 1912,29.2,0.24,0,0,0.82,0.75,0,2.98,1.16,0.48,0,0,0,5,2.23,0.75,74.7
114,Marco Capuano,CB,Ternana,25.1,0.08,0.04,0,0.6,0.56,0,0.04,1.04,1.47,0,0,0.04,5.06,3.03,2.55,54.3
115,Antonio Caracciolo,CB,Pisa,21.7,0.32,0,0,1.38,0.23,0,0.23,1.43,1.24,0,0,0,3.96,2.03,1.06,65.7
127,Cristian Cauz,CB,Modena,16.6,0.3,0,0,1.02,0.48,0.18,0.18,1.45,0.72,0,0,0,4.58,2.47,1.75,58.6
128,Pietro Ceccaroni,CB,Palermo,27.9,0.14,0,0,0.97,0.61,0.04,0.57,1.08,0.82,0,0.04,0,5.09,1.86,1.43,56.5
133,Luca Ceppitelli,CB,FeralpiSalò,28.9,0.38,0,0,1.07,0.73,0,0,1.38,1.14,0,0.03,0,5.02,3.15,1.73,64.5
145,Alessandro Circati,CB,Parma,28.1,0.28,0,0,1.07,0.46,0.04,0.04,0.89,0.46,0,0,0,4.16,2.99,1.6,65.1
147,Andrea Cistana,CB,Brescia,21.7,0.41,0,0,1.34,0.74,0,0.28,1.89,0.78,0,0.05,0,5.71,1.57,1.2,56.7
167,Marco Curto,CB,Como,22.1,0.32,0,0,2.08,0.72,0,1,0.9,0.68,0.05,0,0,4.8,1.45,1.13,56.1
191,Valerio Di Cesare,CB,Bari,26.6,0.64,0.04,0.04,1.17,0.71,0.08,0.08,0.9,0.71,0,0.08,0.04,3.72,2.67,2.03,56.8
200,Salim Diakité,CB,Ternana,17.9,0.34,0,0,1.84,1.79,0.06,1.23,1.62,0.73,0,0,0,6.26,1.68,1.23,57.7
253,Domenico Frare,CB,Cittadella,16.2,0.12,0,0,0.86,0.62,0,0,1.3,0.74,0,0,0.06,3.27,2.72,2.41,53
266,Daniele Ghilardi,CB,Sampdoria,35.4,0.23,0,0,1.44,0.79,0,0.14,1.02,1.13,0,0.08,0,4.01,2.2,1.64,57.4
271,Andrea Giorgini,CB,Südtirol,29.4,0.14,0,0,1.09,0.24,0.03,1.39,1.05,0.71,0,0,0,4.12,1.87,1.43,56.7
282,Edoardo Goldaniga,CB,Como,16,0.25,0,0,0.88,0.56,0.06,0.63,0.88,0.56,0,0,0,3.19,2,1.63,55.2
285,Facundo González,CB,Sampdoria,25.7,0.47,0,0,1.01,0.58,0,0.12,0.86,0.93,0,0.04,0,3.7,1.98,1.91,51
299,Petko Hristov,CB,Spezia,17.8,0.17,0,0,0.62,1.12,0,0,0.62,0.45,0,0,0,3.09,3.54,1.4,71.6
302,Jay Idzes,CB,Venezia,23.3,0.04,0,0,1.24,0.6,0.13,0.17,0.99,1.16,0,0.04,0,4.21,1.63,1.67,49.4
353,Luka Lochoshvili,CB,Cremonese,18.8,0.32,0.05,0,1.54,0.59,0.16,0.59,1.65,1.17,0,0,0,4.95,2.61,1.76,59.8
357,Lorenzo Lucchesi,CB,Ternana,23.9,0.25,0,0,1.26,1.05,0.08,0.63,1.59,1.51,0,0,0,4.94,1.13,1.67,40.3
358,Fabio Lucioni,CB,Palermo,23,0.3,0,0,1.13,0.52,0,0.17,1.3,0.74,0,0.04,0,6.48,3,1.22,71.1
375,Massimiliano Mangraviti,CB,Brescia,23.3,0.04,0,0,0.6,0.6,0.09,1.12,0.39,0.52,0,0,0,3.56,2.23,1.37,61.9
377,Valerio Mantovani,CB,Ascoli,15.8,0.06,0,0,1.58,1.27,0.13,1.2,1.27,0.63,0,0,0,2.91,3.04,2.85,51.6
381,Alessandro Marcandalli,CB,Reggiana,32.4,0.15,0.03,0,1.42,0.86,0,0.03,1.67,0.9,0,0,0,5.22,2.25,1.51,59.8
391,Andrea Masiello,CB,Südtirol,33.5,0.3,0.03,0.03,0.84,0.72,0.06,0.09,1.25,1.16,0,0.03,0,4.51,1.28,0.87,59.7
404,Andrea Meroni,CB,Cosenza,22.2,0.09,0,0,0.9,0.59,0,0.14,1.31,1.04,0,0.05,0,3.56,4.19,1.71,71
428,Ionuț Nedelcearu,CB,Palermo,18.4,0.22,0,0,0.98,0.43,0,0,0.65,0.71,0,0,0,3.21,1.68,1.25,57.4
429,Stefano Negro,CB,Cittadella,16.7,0.42,0,0,1.5,0.36,0.06,0.18,1.92,1.08,0,0,0,4.01,5.15,2.34,68.8
431,Dimitris Nikolaou,CB,Spezia,32.8,0.27,0.03,0,1.25,0.85,0,0.55,0.79,1.04,0,0,0.03,5.09,1.77,0.91,65.9
437,Cas Odenthal,CB,Como,28.3,0.14,0.04,0,1.45,0.74,0,0.04,0.67,0.74,0,0.04,0,4.38,1.34,2.23,37.6
445,Yordan Osorio,CB,Parma,21.7,0.09,0,0,0.83,0.37,0,0.14,1.34,0.28,0,0,0,4.42,2.86,1.29,68.9
453,Andrea Papetti,CB,Brescia,28.3,0.11,0,0,1.13,1.27,0,0.32,1.41,1.13,0,0.04,0,5.12,1.98,1.48,57.1
457,Nicola Pavan,CB,Cittadella,30,0.1,0,0,0.87,1.13,0,0.3,1.13,0.67,0,0,0,5.07,2.57,2.97,46.4
461,Antonio Pergreffi,CB,Modena,20.4,0.39,0,0,0.74,0.69,0,0.29,1.62,0.59,0,0,0,3.92,2.11,2.01,51.2
472,Alessandro Pilati,CB,FeralpiSalò,16.6,0.12,0,0,1.14,1.2,0,0.06,1.08,1.14,0,0.06,0,4.04,3.01,1.69,64.1
489,Danilo Quaranta,CB,Ascoli,21.1,0.28,0.05,0,2.09,1.09,0.05,0.24,0.9,0.95,0,0,0,3.84,2.09,1.56,57.1
495,Luca Ravanelli,CB,Cremonese,24.2,0.21,0.04,0.04,0.99,1.07,0,0.04,0.99,1.24,0,0,0.04,5.29,3.55,2.81,55.8
500,Alessandro Riccio,CB,Modena,17.7,0.28,0,0,1.41,1.41,0.06,0.56,1.13,1.02,0,0.06,0,5.08,1.92,1.19,61.8
509,Paolo Rozzio,CB,Reggiana,23.6,0.25,0,0,0.76,0.17,0.04,0,1.06,0.55,0,0,0,3.26,3.56,2.29,60.9
527,Stefano Scognamillo,CB,Catanzaro,33.5,0.39,0,0,1.49,1.79,0.03,0.24,1.19,0.87,0,0.06,0,4.36,1.58,1.88,45.7
555,Marin Šverko,CB,Venezia,27.5,0.33,0.04,0.04,1.13,1.56,0.04,0.36,1.16,1.02,0,0.04,0,4.87,2.15,1.49,59
556,Michael Svoboda,CB,Venezia,16.1,0.06,0,0,0.68,0.81,0,0.12,0.99,0.5,0,0,0,5.4,2.61,1.61,61.8
588,Michael Venturi,CB,Cosenza,28.4,0.56,0.04,0.04,2.15,0.67,0,0.14,1.41,1.06,0,0,0.04,5.35,2.18,1.34,62
596,Francesco Vicari,CB,Bari,36.9,0.19,0,0,0.92,0.24,0,0.05,0.95,0.7,0,0.03,0,2.76,2.85,1.17,70.9
615,Giovanni Zaro,CB,Modena,36.6,0.19,0,0,1.04,0.9,0.14,0.52,1.56,1.09,0,0,0.03,5.36,2.73,0.85,76.3
