Player;Position;Minutes played;Assists per 90;xA per 90;Key passes per 90;Passes per 90;Accurate passes, %;Progressive passes per 90;Accurate progressive passes, %;Accurate passes to final third, %;Dribbles per 90;Successful dribbles, %;Offensive duels won, %;Defensive duels won, %;PAdj Sliding tackles;PAdj Interceptions
T. Naylor;RDMF;1762;0;0.06;0.15;41.88;85.37;6.9;74.81;65.19;0.61;58.33;47.5;59.46;1.05;10.11
L. Akins;LAMF;1943;0.14;0.06;0.37;25.66;71.66;4.49;61.86;57.14;3.2;46.38;32.21;52.63;0.12;6.34
C. Wyke;CF;1447;0.12;0.1;0.44;18.1;80.41;1.06;70.59;72.73;1.12;50;26.89;50;0.93;2.79
S. Fraser;LAMF;1287;0.14;0.29;0.63;33.22;85.05;4.83;76.81;74.14;2.1;40;38.66;54.24;0.47;4.59
M. Penney;LB;1302;0;0.05;0.35;41.82;75.7;10.16;69.39;58.43;3.53;49.02;43.3;69.7;0.49;8.85
A. Forde;RB;868;0.1;0.24;0.62;38.99;77.39;8.61;84.34;61.76;2.49;75;45.83;59.21;0.66;8.29
S. Kashket;RW;938;0.19;0.14;0.48;23.03;69.17;4.13;69.77;47.83;3.93;53.66;41.57;52.83;0.14;4.43
L. Montsma;RCB;1788;0;0.01;0.05;48.83;81.44;11.48;62.72;57.26;1.01;80;56.1;73.28;0.42;7.92
M. Miller;LWB;697;0.52;0.26;1.55;24.92;63.73;6.59;78.43;44.83;6.2;64.58;52.86;52.73;1.56;6.89
K. Vassell;CF;1045;0.09;0.09;0.09;11.97;65.47;1.03;58.33;23.53;2.93;52.94;30.07;56.25;0;3.32
T. Carroll;LCMF;279;0;0.11;0.32;48.39;84.67;9.03;82.14;66.67;0.32;0;42.86;47.37;0.42;4.65
E. Bennett;RWB;2269;0.04;0.13;0.32;27.84;66.38;6.86;73.41;47.01;2.42;60.66;49.25;63.19;1.11;5.09
A. Pierre;LCB;1310;0;0.01;0;19.92;72.41;5.02;63.01;45.31;0.55;50;42.31;75.58;0.27;5.46
M. Maroši;GK;2490;0;0;0;16.81;84.3;8.96;88.71;73.81;0;0;0;100;0;1.41
J. Wildsmith;GK;293;0;0;0;21.19;89.86;6.14;85;33.33;0;0;0;0;0;1.79
D. Gardner;LCMF;396;0;0.08;0.23;26.59;73.5;6.14;51.85;50;2.27;40;48.15;51.35;1.03;4.48
W. Hoolahan;AMF;1095;0.41;0.26;1.15;41.92;76.67;8.3;80.2;68.29;5.18;39.68;33.33;38.18;0.11;3.11
S. Williams;LDMF;1938;0;0.15;0.14;42.17;79.85;9.75;75.24;64.55;1.07;52.17;54.93;65.6;0.71;8.27
C. Masterson;LCB;1389;0;0;0;22.55;77.3;4.67;61.11;61.29;0.58;77.78;47.83;78.21;0.31;7.54
K. Dempsey;AMF;1651;0.05;0.09;0.05;24.91;77.68;3.65;68.66;62.12;3.54;44.62;36.55;50;0.86;3.79
J. Cumming;GK;2061;0;0;0;16.59;78.16;10.31;89.41;75.4;0;0;0;66.67;0;2.27
B. Reeves;LCMF;312;0;0;0;19.9;75.36;2.88;80;45.45;1.15;0;36.36;71.43;0.34;4.14
A. Stewart;RCB;1949;0.05;0.02;0.09;18.52;65.34;6.83;63.51;56.12;0.69;66.67;55.77;54.86;0;6.98
E. Hamilton;LCMF;1707;0;0.08;0.37;25.78;75.87;5.01;63.16;48.53;3.95;61.33;53.37;56.49;0.4;4.03
J. Vela;LCMF;1758;0.05;0.04;0.36;29.39;82.58;4.51;75;59.42;2.2;44.19;40.86;63.1;1.43;5.97
A. Mehmeti;AMF;894;0.1;0.08;0.4;23.15;67.83;4.13;78.05;63.16;8.15;53.09;38.22;65.57;0.15;3.28
S. Seddon;LB;2241;0.16;0.16;0.56;37.23;71.31;9.64;66.25;67.11;1.61;55;47.67;54.6;0.63;7.04
B. Bodin;RWF;323;0;0.07;0.28;27.03;77.32;3.34;58.33;60;8.36;33.33;33.33;61.54;0;3.69
Ryan Williams;LWF;621;0.14;0.13;0.58;27.25;78.19;6.23;74.42;58.82;3.77;57.69;42.11;56.25;1.01;5.29
B. Wiles;LCMF;2145;0.08;0.11;0.29;26.48;77.65;4.49;73.83;67.01;3.9;48.39;38.54;53.17;0.34;6
J. Thorniley;LCB;1815;0.05;0.01;0.1;50.33;84.63;10.96;71.49;57.32;0.15;100;58.82;67.57;0.55;9.27
A. O'Connor;LCB;2322;0.08;0.02;0.04;32.91;81.27;6.71;60.12;52.5;0.39;70;48.57;67.83;0.44;7.2
G. Leigh;LB;1750;0.1;0.09;0.21;32.4;67.46;9.05;69.32;52.25;2.62;60.78;50.56;60.19;0.73;7.68
D. John;LB;1507;0.18;0.18;0.54;41.98;80.8;7.64;69.53;55.22;2.21;59.46;46.38;66.28;0.1;4.78
C. Lakin;AMF;863;0.1;0.05;0.31;27.11;68.85;4.17;72.5;47.92;3.13;56.67;42.03;55.56;0.52;3.88
A. Oshilaja;RDMF;1194;0;0.02;0.23;28.04;70.43;6.48;63.95;51.19;1.28;58.82;52.27;70.27;0.68;9.71
D. Daniels;RCB;1091;0;0.01;0.08;42.98;81.77;9.49;64.35;52.38;0.66;37.5;55.88;81.32;0.12;8.66
K. Hemmings;CF;1067;0.08;0.07;0.17;17.88;77.83;1.94;73.91;69.23;2.61;51.61;27.64;50;0.24;2.33
L. Fiorini;LCMF;1523;0.06;0.07;0.47;27.6;73.02;3.01;60.78;55.36;3.19;48.15;36.96;60.47;0.43;4.03
Alex Gorrin;DMF;987;0;0.02;0;41.58;83.55;6.66;56.16;62.5;0.73;50;34.48;64.29;0.15;11.23
G. Jones;RB;1101;0.16;0.11;0.98;46.19;77.35;12.02;73.47;65.75;1.96;62.5;49.15;65.22;0.13;5.13
D. Gape;LCMF;220;0;0;0;19.23;72.34;3.68;66.67;33.33;0;0;60;56.52;0;6.52
B. Amos;GK;2062;0;0;0;20.6;91.31;6.02;86.96;70.69;0;0;100;66.67;0;2.49
S. Humphrys;CF;429;0.21;0.15;0.21;16.15;72.73;0.84;75;66.67;6.92;60.61;36.84;73.68;0.83;3.75
C. Burgess;LCB;1253;0;0.01;0;57.61;81.3;13.5;65.96;54.55;0.29;50;53.33;63.64;0.35;12.63
T. Pearce;LB;362;0.25;0.06;0.5;34.31;71.01;10.44;76.19;74.07;2.73;90.91;68.42;55.56;0.38;8.08
A. Wildig;LCMF;321;0.28;0.09;0.28;24.95;88.76;3.08;100;90;0.56;100;40;64;2.08;4.58
T. Anderson;LCB;1775;0;0;0.05;39.8;75.8;9.89;57.44;43.7;0.2;50;55.56;62.83;0.28;9.72
T. Flanagan;RCB;2011;0.04;0;0.13;36.74;78.93;8.46;67.2;48.55;1.03;60.87;60.98;73.29;0.59;8.26
W. Burns;RAMF;1220;0.22;0.21;0.81;21.91;74.41;3.02;63.41;70.59;6.27;52.94;42.45;52.73;0.12;4.98
L. Isgrove;RAMF;1188;0;0.15;0.91;36.89;74.13;8.48;83.04;73.53;4.39;51.72;44.76;54.41;1.09;5.05
J. Scowen;LCMF;1817;0.05;0.02;0.1;27.89;70.87;6.14;75.81;56.92;1.19;58.33;51.52;58.24;0.77;7.25
R. Poole;RB;2051;0.04;0.03;0.18;45.2;75.73;11.76;66.79;50;1.93;59.09;49.32;55.7;0.12;6.69
C. Bramall;LB;779;0.12;0.14;0.58;37.09;68.22;7.51;64.62;53.85;3.7;46.88;45.65;65.08;0.5;4.02
J. Wilson;RCB;2017;0.04;0.02;0.18;41.5;77.63;10.89;73.77;57.8;0.54;58.33;57.89;69.68;0.13;7.48
C. Hussey;LWB;2089;0.04;0.11;0.3;33.04;77.44;5.51;66.41;49.47;2.33;64.81;51.94;56.79;0.23;6.56
B. Morris;LCMF;387;0;0.1;0.23;36.74;83.54;7.91;76.47;74.19;0.23;100;50;59.26;0.96;7.66
J. Edwards;RWB;2145;0.04;0.08;0.5;30.5;73.04;7.93;75.66;54.33;1.34;56.25;47.42;55.86;0.62;7.31
C. Grant;LWB;1890;0.1;0.2;0.76;43.24;72.58;10.67;79.46;57.14;4;79.76;64.75;46.39;0.14;5.29
R. Hardie;CF;2013;0.09;0.02;0.22;11.09;68.55;1.21;66.67;38.89;3.31;48.65;26.8;56.47;0.26;1.99
J. Morrell;LCMF;1385;0.06;0.02;0.19;42.56;82.29;6.89;78.3;65.08;2.14;54.55;61.64;57.52;1.06;6.02
J. Garrick;CF;1200;0.23;0.06;0.38;21.45;76.22;2.85;78.95;59.26;6.15;53.66;34.09;67.37;0;3.15
E. Ebanks-Landell;CB;1701;0;0;0;21.9;74.88;5.82;57.27;48.68;0.26;60;54.55;77.31;0.8;6.9
J. Marquis;CF;1307;0.21;0.1;0.28;14.12;67.8;1.51;59.09;45.45;2;37.93;21.31;54.55;0;2.76
S. Raggett;RCB;2170;0;0;0.04;32.76;85.19;5.18;56.8;57.81;0.12;0;29.03;66.02;0.27;7.07
J. Iredale;LB;2381;0.08;0.05;0.15;32.36;69.04;10.7;66.08;60;2.08;67.27;55.29;62.69;0.52;6.34
D. Lewington;LCB;1921;0;0.01;0.05;62.97;88.47;13.63;81.1;75.42;0.52;54.55;51.22;68.22;0.08;6.47
J. Henry;RCMF;1600;0.17;0.15;0.56;31.39;77.96;6.02;75.7;68.89;3.49;50;39.09;49.06;0.09;4.78
Panutche Camará;RCMF;2236;0.16;0.12;0.44;34.21;83.88;4.63;76.52;78.49;2.78;59.42;42.94;64.71;0;4.88
J. Jacobson;LCB;2129;0.13;0.2;0.3;26.59;65.82;10.53;72.29;59.52;0.93;54.55;51.92;69.39;0.78;7.94
M. Pollock;CB;1429;0.13;0.03;0.19;31.74;75.2;6.61;55.24;33.33;0.06;0;23.08;73.53;0.09;8.71
A. Williams;CF;599;0.15;0.07;0.6;13.67;61.54;1.8;50;18.18;1.65;9.09;17.78;55.56;0;3.93
O. Pendlebury;RCMF;289;0;0;0;16.51;67.92;2.8;66.67;28.57;0.62;50;37.5;42.11;1.64;4.52
S. Whalley;RCMF;1035;0.09;0.06;0.17;27.3;70.7;6.09;78.57;61.54;3.83;52.27;48.78;41.67;0.53;4.59
J. Hiwula;LAMF;1410;0.13;0.09;0.26;17.17;71.38;3.13;67.35;56.1;3.13;61.22;41.67;51.85;0.35;2.51
A. Phillips;RCMF;1200;0.23;0.15;0.68;34.88;70.11;6.45;63.95;54.44;1.73;56.52;39.66;60.26;0.49;6.64
S. Kaikai;RWB;561;0.48;0.17;0.32;19.41;66.12;3.21;70;50;4.65;58.62;47.92;46.43;0.48;5.04
C. Wright;RCMF;888;0.1;0.12;0.41;29.8;68.03;4.86;66.67;38;1.82;50;30.36;57.38;0.53;3.33
G. Johnston;LCB;1754;0.05;0.03;0.15;53.93;84.87;9.95;68.56;54.67;0.62;83.33;58.33;75;0.76;8.67
T. Leigh;RCMF;514;0;0.22;0.7;25.21;72.92;3.85;86.36;65;2.28;46.15;39.29;57.69;0.27;5.63
R. Leak;LCB;1309;0;0;0;32.73;80.88;6.12;66.29;50;0.34;80;42.86;75;0.29;8.24
K. Ramsay;RB;1214;0;0.01;0.15;35.73;77.18;8.01;56.48;67.8;3.56;66.67;54.08;75;2.89;7
C. Shaughnessy;RCB;2255;0.04;0.02;0.12;29.57;73.95;8.34;74.64;55.05;0.32;50;45;61.39;0.16;7.95
M. Smith;RCMF;1616;0.06;0.05;0.22;33.08;79.29;5.68;76.47;58.95;2.06;45.95;40.59;58.62;0.67;3.71
T. Hopper;CF;618;0;0.07;0.29;14.27;74.49;1.02;71.43;33.33;1.31;66.67;37.1;68.18;0.2;4.43
A. Amadi-Holloway;CF;273;0;0.05;0.33;19.45;66.1;2.31;71.43;25;1.98;33.33;17.14;41.67;0.49;3.44
C. Winchester;RB;2094;0.04;0.04;0.09;33.95;83.8;6.28;76.71;75;1.63;57.89;43.16;64.6;0.74;5.49
D. Adshead;DMF;892;0;0.05;0;30.17;81.61;4.24;69.05;67.92;1.01;30;44.44;59.79;1.02;6.38
R. Vilca;RAMF;665;0;0.04;0.27;20.84;77.27;2.84;66.67;54.55;4.2;48.39;34.43;50;0.74;4.81
O. Shodipo;LWB;672;0;0.15;0.54;21.56;70.19;2.01;73.33;22.22;8.3;67.74;49.19;64.86;0;5.61
D. Mebude;LAMF;560;0;0.01;0;11.89;66.22;1.45;77.78;70;8.2;52.94;44.44;50;0.27;3.21
R. Adebisi;LB;2149;0.04;0.05;0.13;31.87;75.3;6.99;67.07;61.76;3.06;61.64;47.73;56.38;0.37;7.22
J. Sheehan;LDMF;1126;0.08;0.21;0.4;38.37;87.5;5.99;90.67;71.26;1.2;60;48;65.52;1.53;2.29
J. Mattock;LCB;367;0;0.03;0.25;23.54;82.29;8.09;78.79;70.59;0.74;33.33;14.29;57.14;0.99;6.92
A. Cairns;GK;2247;0;0;0;21.99;85.25;8.21;84.88;68.24;0.04;100;66.67;0;0;2.82
H. Pell;RCMF;1672;0.05;0.04;0.16;27.45;77.45;3.98;75.68;56.04;1.18;31.82;37.5;50;0.85;3.46
P. Kioso;RWB;1346;0.13;0.12;0.27;28.42;73.88;5.08;69.74;53.33;1.81;40.74;43.86;62.07;0.32;5.91
G. McCleary;AMF;1621;0.22;0.18;0.61;23.43;67.54;4.28;80.52;57.14;5.72;46.6;40.76;63.64;0;1.43
D. Stockdale;GK;2396;0;0;0;14.72;66.84;9.02;86.25;63.59;0;0;100;50;0.05;3.48
S. Flinders;GK;1658;0;0;0;19.54;79.72;6.79;75.2;58.11;0;0;100;0;0;2.22
J. Lindsay;RCMF;979;0;0.02;0.09;29.33;72.1;6.25;70.59;63.01;0.55;50;36.36;61.45;1.5;5.45
S. Eastwood;GK;871;0;0;0;20.25;86.22;7.65;82.43;66.67;0;0;0;100;0;1.22
R. McLaughlin;RB;1118;0;0;0.08;27.53;68.71;9.02;74.11;61.05;1.61;75;53.19;65.71;0.68;7.33
A. Bakayoko;CF;558;0.16;0.17;0.48;24.03;73.83;3.39;66.67;70;1.94;58.33;28.57;55;1.84;2.37
C. Ogbene;RWB;1792;0.05;0.25;0.95;24.76;63.89;5.88;77.78;63.89;9.39;56.68;50.36;55.13;0.25;4.34
C. Porter;CF;1258;0.14;0.06;0.36;11.66;69.33;1.07;53.33;38.1;0.29;50;21.88;57.14;0;1.6
M. Ehmer;RCB;2016;0;0;0.04;19.91;69.06;7.32;72.56;61.84;0;0;38.89;68.39;0.22;6.74
Ricardo Santos;RCB;1944;0;0;0.05;53.24;88.78;7.69;69.28;58.9;1.53;78.79;55.56;78.31;0.77;8.27
L. Jones;RCB;1263;0.07;0.02;0.14;30.36;80.28;8.98;73.02;65.63;0.5;57.14;47.62;64.06;0.09;6.92
M. McGuane;RCMF;517;0;0.06;0.52;32.73;86.7;4.53;92.31;89.29;2.96;58.82;50;63.64;0.29;3.43
A. Sarcevic;AMF;1244;0.07;0.09;0.29;35.02;80.99;4.99;75.36;76.92;2.82;64.1;41.51;63.38;0.45;4.43
A. Baldwin;RCB;349;0;0;0;35.59;73.91;8.77;64.71;51.85;0.52;0;44.44;75;0;10.59
S. Conneely;RCMF;1175;0;0.04;0.15;40.21;83.05;7.28;68.42;76.83;0.61;37.5;37.84;64.38;0.57;7.24
C. Tilt;LCB;720;0;0;0;41.25;84.24;9.25;71.62;57.14;0.63;40;67.65;73.81;0.41;7.96
M. Watters;CF;546;0.16;0.11;0.16;12.36;60;0.82;40;60;1.48;55.56;32.43;55.56;0;2.14
L. O'Nien;RDMF;1520;0.06;0.01;0.12;40.03;81.36;6.57;70.27;63.72;0.77;53.85;62.5;59.83;0.95;9.34
O. Palmer;CF;1056;0.17;0.08;0.17;19.01;57.85;3.75;61.36;48.08;3.58;47.62;32.58;60.78;0.26;3.57
S. McConville;LWB;2213;0.28;0.34;0.65;32.54;68.75;9.6;79.66;54.43;3.25;55;47.95;58.4;0.76;5.16
C. Brennan;RCB;548;0;0;0;34.16;87.5;5.58;58.82;62.5;0.49;33.33;58.33;81.48;0;7.25
P. Digby;DMF;2229;0.04;0.05;0.28;34.4;79.93;5.81;67.36;68.71;0.52;46.15;37.04;55.61;0.31;6.14
T. Lowery;RCMF;1020;0.09;0.13;0.53;44.82;82.87;9.97;76.99;71.25;3.26;70.27;42.06;62.35;0.67;4.3
G. Williams;RB;2280;0.12;0.08;0.43;28.58;68.23;8.57;75.12;53.5;0.99;68;51.67;50;0.4;7.33
J. Weir;LDMF;989;0.09;0.03;0.18;29.12;77.5;4.73;59.62;55.36;2.09;69.57;56.82;58.02;0.11;5.13
R. Jackson;RB;1156;0.08;0.13;0.23;27.95;75.21;7.63;73.47;63.49;1.87;54.17;44.19;59.26;0.1;5.5
R. Bennett;LCB;1242;0;0;0.07;18.99;70.99;5.72;59.49;55.32;1.01;57.14;38.71;79.41;0.18;6.49
T. Watson;RWB;858;0;0.13;0.63;34.72;83.99;5.14;63.27;81.48;1.89;33.33;28.89;52.63;1.26;8.26
A. Akinfenwa;CF;456;0.2;0.1;0.2;16.97;61.63;1.58;50;42.86;0.59;66.67;31.25;53.85;0;3.33
R. Inniss;RCB;451;0;0;0;32.93;84.85;6.59;63.64;70.83;0.4;100;50;54.17;0.98;10.11
C. Thomas;DMF;1586;0.06;0.06;0.11;38.53;82.03;7.77;67.88;66.99;0.34;50;44;55.56;0.61;5.25
W. Boyle;LCB;901;0.1;0.02;0.2;39.76;77.39;9.19;59.78;49.12;1.1;72.73;66.67;72.73;1.13;6.28
K. Letheren;GK;1069;0;0;0;20.71;76.83;13.47;83.13;72;0;0;100;0;0;1.84
D. Batty;RCMF;916;0.2;0.19;0.29;43.53;79.46;8.94;75.82;67.07;2.75;57.14;42.19;62.82;1.02;3.79
C. Stockton;CF;2125;0.08;0.03;0.17;10.08;67.23;1.23;93.1;57.5;3.26;42.86;23.97;51.79;0.16;1.56
K. Knoyle;RB;2072;0.04;0.03;0.09;25.84;69.08;6.12;65.96;44.64;1.52;65.71;48.15;69.84;0.35;4.93
R. Wood;CB;1814;0.05;0.01;0.05;17.91;74.24;5.95;57.5;67.86;0.15;66.67;40;73.79;0.16;7.26
C. McGrandles;RCMF;1606;0;0.02;0.06;42.87;84.18;6.67;62.18;66.67;1.18;66.67;40.96;66.43;1.9;6.19
J. Whatmough;RCB;2027;0.04;0.04;0.13;49.77;87.6;9.19;73.91;55.28;0.36;62.5;34.48;74.73;0.22;7.07
L. Brown;LB;1692;0.11;0.09;0.27;33.3;75.88;8.94;73.81;64.76;1.06;50;32.08;61.46;0.17;6.03
M. Melbourne;LCB;395;0;0;0;51.27;87.11;10.71;72.34;61.54;0;0;28.57;57.14;0.33;7.91
J. Pritchard;RWB;392;0;0.1;0.23;22.27;64.95;4.59;95;52.38;8.27;61.11;54.17;58.33;0.38;3.85
A. Presley;CF;984;0.09;0;0;17.56;77.6;1.37;86.67;66.67;2.2;37.5;16.52;63.41;0.27;1.76
M. Azeez;RCMF;384;0.23;0.16;0;27.42;88.03;4.45;68.42;83.33;1.88;62.5;30;55.56;1.41;10.78
D. Agyei;CF;268;0;0;0;9.74;55.17;1.68;60;0;6.38;36.84;25.64;57.89;0.59;2.94
C. Lang;RAMF;1812;0.25;0.13;0.5;17.93;73.13;2.19;70.45;53.13;6.11;43.09;32.77;53.33;0.4;3.92
F. Blake-Tracy;LCB;319;0;0;0;44.29;73.89;9.31;63.64;53.33;1.41;40;40;78.26;1.18;7.11
L. Burge;GK;292;0;0;0;17.88;82.76;3.7;66.67;62.5;0;0;0;0;0;3.38
J. Pigott;CF;543;0;0.04;0.33;14.92;72.22;1.66;80;53.85;1.33;87.5;33.33;56.25;0.32;2.23
L. Woolfenden;RCB;835;0;0.05;0.22;45.59;83.22;6.79;55.56;46.67;0.75;71.43;47.06;77.05;0.53;8.42
N. Tzanev;GK;2067;0;0;0.04;24.3;79.75;8.75;81.09;61.02;0;0;66.67;100;0;4.03
D. Csóka;LCB;804;0;0.02;0.11;30.11;79.55;6.94;62.9;65;0.34;66.67;46.15;77.61;2.16;7.9
M. Williams;DMF;1813;0;0.01;0;39.71;88.5;5.41;69.72;75;0.5;60;49.09;56.78;0.8;5.39
J. Houghton;DMF;2251;0.08;0.08;0.2;35.22;81.27;5.8;67.59;65.75;0.56;57.14;46.67;58.66;0.65;6.58
F. Dele-Bashiru;RCMF;976;0.09;0.05;0.37;25.64;88.49;1.66;88.89;82.76;3.87;54.76;38.46;77.78;0;3.47
H. Dunk;LB;1111;0;0.01;0.08;25.03;68.93;6.64;51.22;46.67;2.11;46.15;41.86;53.93;0.52;7.22
C. Ogilvie;LCB;1359;0;0;0;27.95;78.91;6.89;73.08;55.56;0.2;66.67;52.17;63.64;0.22;6.85
M. Harness;AMF;1993;0.05;0.15;0.63;30.98;68.22;4.97;69.09;53.68;4.88;48.15;38.94;59.23;0.37;5.17
J. Brophy;LW;1946;0.09;0.11;0.42;25.39;75.41;3.88;72.62;64.29;4.25;57.61;50.3;50;0.17;4.15
S. Smith;RAMF;1422;0;0.02;0;17.91;74.56;2.22;57.14;60.87;2.66;42.86;35.77;52.31;0.9;2.13
D. Phillips;LDMF;835;0;0;0.11;27.49;74.12;5.07;63.83;58.33;2.16;50;43.64;62.04;1.46;6.41
M. Carayol;LAMF;1059;0;0.01;0.08;19.8;63.95;3.65;62.79;58.33;7.05;62.65;50.37;60;0.89;3.11
Z. Jules;LCB;557;0;0.05;0.16;40.88;83.79;7.27;62.22;68.57;3.39;71.43;58.82;57.58;0.56;6.11
A. Fisher;GK;2160;0;0.01;0.04;30.04;85.16;7.21;77.46;41.18;0.17;100;100;0;0.07;3.16
G. Dobson;DMF;1492;0.06;0.04;0.18;38.36;82.7;7.24;76.67;64.55;1.63;62.96;47.62;56.52;1.44;6.35
